,기간,우크라이나
925,2021-12-24,0.35117
926,2021-12-25,0.3691
927,2021-12-26,0.38716
928,2021-12-27,0.49191
929,2021-12-28,0.56179
930,2021-12-29,0.32816
931,2021-12-30,0.25821
932,2021-12-31,0.30825
933,2022-01-01,0.22585
934,2022-01-02,0.38815
935,2022-01-03,0.29441
936,2022-01-04,0.22861
937,2022-01-05,0.20396
938,2022-01-06,0.22453
939,2022-01-07,0.22314
940,2022-01-08,0.25498
941,2022-01-09,0.24918
942,2022-01-10,0.32381
943,2022-01-11,0.50114
944,2022-01-12,0.21787
945,2022-01-13,0.24866
946,2022-01-14,0.30917
947,2022-01-15,0.31761
948,2022-01-16,0.2331
949,2022-01-17,0.28524
950,2022-01-18,0.57359
951,2022-01-19,1.19254
952,2022-01-20,0.87888
953,2022-01-21,1.17507
954,2022-01-22,1.02635
955,2022-01-23,0.86912
956,2022-01-24,4.37258
957,2022-01-25,8.5267
958,2022-01-26,5.79348
959,2022-01-27,4.02491
960,2022-01-28,2.1117
961,2022-01-29,1.66758
962,2022-01-30,1.35695
963,2022-01-31,1.15892
964,2022-02-01,0.95106
965,2022-02-02,1.12272
966,2022-02-03,1.84537
967,2022-02-04,1.16149
968,2022-02-05,0.71117
969,2022-02-06,1.00512
970,2022-02-07,1.39545
971,2022-02-08,1.47343
972,2022-02-09,0.97987
973,2022-02-10,0.92786
974,2022-02-11,3.65501
975,2022-02-12,17.90164
976,2022-02-13,11.35235
977,2022-02-14,15.73713
978,2022-02-15,21.29171
979,2022-02-16,11.5397
980,2022-02-17,27.78497
981,2022-02-18,12.74384
982,2022-02-19,10.49225
983,2022-02-20,10.90302
984,2022-02-21,13.30966
985,2022-02-22,30.05554
986,2022-02-23,18.08015
987,2022-02-24,100.0
988,2022-02-25,79.11219
989,2022-02-26,51.78156
990,2022-02-27,46.25381
991,2022-02-28,42.93071
992,2022-03-01,31.6154
993,2022-03-02,24.71837
994,2022-03-03,20.51053
995,2022-03-04,17.94732
996,2022-03-05,12.24026
