,기간,범죄도시2
971,2022-02-08,0.34255
972,2022-02-09,0.35334
973,2022-02-10,0.43114
974,2022-02-11,0.69601
975,2022-02-12,0.71636
976,2022-02-13,0.86701
977,2022-02-14,0.45565
978,2022-02-15,0.43564
979,2022-02-16,0.38527
980,2022-02-17,0.53952
981,2022-02-18,0.79202
982,2022-02-19,0.68859
983,2022-02-20,1.10028
984,2022-02-21,0.46127
985,2022-02-22,0.52917
986,2022-02-23,0.50478
987,2022-02-24,0.47442
988,2022-02-25,0.41889
989,2022-02-26,0.42316
990,2022-02-27,0.45419
991,2022-02-28,0.37583
992,2022-03-01,0.43642
993,2022-03-02,0.36571
994,2022-03-03,0.42361
