,기간,세븐틴
670,2021-04-13,3.86142
671,2021-04-14,4.24103
672,2021-04-15,4.32148
673,2021-04-16,3.81019
674,2021-04-17,3.7629
675,2021-04-18,3.83252
676,2021-04-19,3.7524
677,2021-04-20,3.6946
678,2021-04-21,4.26139
679,2021-04-22,3.93169
680,2021-04-23,3.68475
681,2021-04-24,3.73072
682,2021-04-25,3.9468
683,2021-04-26,3.70314
684,2021-04-27,4.08176
685,2021-04-28,3.8138
686,2021-04-29,3.8253
687,2021-04-30,4.80124
688,2021-05-01,3.84434
689,2021-05-02,3.63516
690,2021-05-03,3.52154
691,2021-05-04,3.50939
692,2021-05-05,3.45521
693,2021-05-06,3.4342
694,2021-05-07,3.31532
695,2021-05-08,3.36753
696,2021-05-09,3.46506
697,2021-05-10,4.51227
698,2021-05-11,3.74254
699,2021-05-12,3.46835
700,2021-05-13,3.74386
701,2021-05-14,3.72645
702,2021-05-15,3.65914
703,2021-05-16,3.61907
704,2021-05-17,3.56588
705,2021-05-18,6.31442
706,2021-05-19,4.18553
707,2021-05-20,4.59174
708,2021-05-21,4.16451
709,2021-05-22,4.23314
710,2021-05-23,4.16024
711,2021-05-24,4.74476
712,2021-05-25,4.16944
713,2021-05-26,6.97676
714,2021-05-27,4.54839
715,2021-05-28,4.38945
716,2021-05-29,3.81348
717,2021-05-30,4.71554
718,2021-05-31,3.98883
719,2021-06-01,3.61316
720,2021-06-02,3.63188
721,2021-06-03,3.73368
722,2021-06-04,3.58919
723,2021-06-05,3.86208
724,2021-06-06,4.12675
725,2021-06-07,4.44331
726,2021-06-08,4.30079
727,2021-06-09,4.46137
728,2021-06-10,5.215
729,2021-06-11,4.34414
730,2021-06-12,4.95427
731,2021-06-13,4.61374
732,2021-06-14,4.7244
733,2021-06-15,5.69805
734,2021-06-16,4.84163
735,2021-06-17,5.49741
736,2021-06-18,13.97258
737,2021-06-19,16.59798
738,2021-06-20,14.81323
739,2021-06-21,9.99523
740,2021-06-22,7.81676
741,2021-06-23,7.92086
742,2021-06-24,7.89853
743,2021-06-25,7.04145
744,2021-06-26,6.8083
745,2021-06-27,7.10516
746,2021-06-28,6.18865
747,2021-06-29,6.97282
748,2021-06-30,6.60077
749,2021-07-01,8.92274
750,2021-07-02,8.33954
751,2021-07-03,7.63057
752,2021-07-04,7.68114
753,2021-07-05,5.53058
754,2021-07-06,5.17133
755,2021-07-07,4.67547
756,2021-07-08,4.63705
757,2021-07-09,4.56645
758,2021-07-10,4.48961
759,2021-07-11,4.43641
760,2021-07-12,4.31458
761,2021-07-13,4.243
762,2021-07-14,4.38486
763,2021-07-15,4.46203
764,2021-07-16,4.17666
765,2021-07-17,5.1421
766,2021-07-18,4.59141
767,2021-07-19,9.54174
768,2021-07-20,5.32895
769,2021-07-21,4.61571
770,2021-07-22,4.70503
771,2021-07-23,4.4259
772,2021-07-24,4.48895
773,2021-07-25,4.45316
774,2021-07-26,4.1701
775,2021-07-27,4.06403
776,2021-07-28,4.08012
777,2021-07-29,4.37566
778,2021-07-30,3.96092
779,2021-07-31,4.02594
780,2021-08-01,3.90542
781,2021-08-02,4.18651
782,2021-08-03,3.94975
783,2021-08-04,4.08603
784,2021-08-05,4.08242
785,2021-08-06,3.97668
786,2021-08-07,3.93859
787,2021-08-08,6.07372
788,2021-08-09,5.15491
789,2021-08-10,4.03283
790,2021-08-11,3.82661
791,2021-08-12,5.07413
792,2021-08-13,5.06001
793,2021-08-14,4.59338
794,2021-08-15,4.52934
795,2021-08-16,5.55258
796,2021-08-17,4.51851
797,2021-08-18,4.70601
798,2021-08-19,4.53394
799,2021-08-20,4.25285
800,2021-08-21,4.58353
801,2021-08-22,4.84984
802,2021-08-23,6.78138
803,2021-08-24,4.70043
804,2021-08-25,4.22132
805,2021-08-26,4.19801
806,2021-08-27,3.95172
807,2021-08-28,4.14021
808,2021-08-29,4.30309
809,2021-08-30,4.17272
810,2021-08-31,4.24858
811,2021-09-01,6.30128
812,2021-09-02,5.09449
813,2021-09-03,4.75921
814,2021-09-04,4.16156
815,2021-09-05,4.3773
816,2021-09-06,4.01871
817,2021-09-07,3.68738
818,2021-09-08,3.40891
819,2021-09-09,3.39183
820,2021-09-10,3.20203
821,2021-09-11,3.30678
822,2021-09-12,3.64436
823,2021-09-13,3.6217
824,2021-09-14,3.45127
825,2021-09-15,3.19021
826,2021-09-16,3.60594
827,2021-09-17,4.02068
828,2021-09-18,3.50808
829,2021-09-19,3.98522
830,2021-09-20,3.73302
831,2021-09-21,3.7455
832,2021-09-22,3.85452
833,2021-09-23,3.6171
834,2021-09-24,4.77629
835,2021-09-25,3.65815
836,2021-09-26,4.04827
837,2021-09-27,4.32411
838,2021-09-28,3.76586
839,2021-09-29,4.01806
840,2021-09-30,3.67391
841,2021-10-01,3.71135
842,2021-10-02,5.36868
843,2021-10-03,9.52466
844,2021-10-04,6.61817
845,2021-10-05,5.21172
846,2021-10-06,4.64296
847,2021-10-07,4.54182
848,2021-10-08,4.44594
849,2021-10-09,6.00837
850,2021-10-10,5.68524
851,2021-10-11,4.88202
852,2021-10-12,3.96683
853,2021-10-13,3.57507
854,2021-10-14,3.86569
855,2021-10-15,4.00131
856,2021-10-16,6.40834
857,2021-10-17,4.97955
858,2021-10-18,4.57006
859,2021-10-19,4.91683
860,2021-10-20,4.6098
861,2021-10-21,6.1696
862,2021-10-22,15.69132
863,2021-10-23,10.55118
864,2021-10-24,9.6859
865,2021-10-25,7.77374
866,2021-10-26,7.07955
867,2021-10-27,6.49371
868,2021-10-28,8.97922
869,2021-10-29,9.80247
870,2021-10-30,8.243
871,2021-10-31,8.8065
872,2021-11-01,7.08086
873,2021-11-02,10.24874
874,2021-11-03,7.85288
875,2021-11-04,6.53772
876,2021-11-05,6.81684
877,2021-11-06,6.12232
878,2021-11-07,6.10327
879,2021-11-08,5.23865
880,2021-11-09,5.18578
881,2021-11-10,4.88958
882,2021-11-11,4.76906
883,2021-11-12,4.8794
884,2021-11-13,5.47771
885,2021-11-14,6.36992
886,2021-11-15,5.36277
887,2021-11-16,4.63016
888,2021-11-17,4.50176
889,2021-11-18,4.79993
890,2021-11-19,4.59962
891,2021-11-20,4.41769
892,2021-11-21,5.29874
893,2021-11-22,4.92307
894,2021-11-23,4.14153
895,2021-11-24,4.17995
896,2021-11-25,4.23938
897,2021-11-26,4.34447
898,2021-11-27,4.27321
899,2021-11-28,4.52212
900,2021-11-29,4.28372
901,2021-11-30,3.97602
902,2021-12-01,4.2939
903,2021-12-02,6.54527
904,2021-12-03,6.08948
905,2021-12-04,4.74969
906,2021-12-05,4.53525
907,2021-12-06,4.04367
908,2021-12-07,4.13923
909,2021-12-08,4.0105
910,2021-12-09,3.74287
911,2021-12-10,4.22067
912,2021-12-11,5.46359
913,2021-12-12,4.89417
914,2021-12-13,4.32411
915,2021-12-14,4.2893
916,2021-12-15,4.03677
917,2021-12-16,4.08209
918,2021-12-17,8.35727
919,2021-12-18,5.52007
920,2021-12-19,4.87283
921,2021-12-20,4.85214
922,2021-12-21,3.99146
923,2021-12-22,3.93333
924,2021-12-23,3.89885
925,2021-12-24,4.03776
