,기간,아우터
976,2022-02-13,3.86782
977,2022-02-14,3.9026
978,2022-02-15,3.70086
979,2022-02-16,3.58956
980,2022-02-17,3.2
981,2022-02-18,3.43652
982,2022-02-19,3.53391
983,2022-02-20,4.02086
984,2022-02-21,4.09043
985,2022-02-22,3.95826
986,2022-02-23,3.72173
987,2022-02-24,3.75652
988,2022-02-25,3.65217
989,2022-02-26,4.28521
990,2022-02-27,4.34086
991,2022-02-28,4.79304
992,2022-03-01,6.83826
993,2022-03-02,5.87826
994,2022-03-03,4.61217
995,2022-03-04,4.68173
996,2022-03-05,4.50086
997,2022-03-06,5.28695
998,2022-03-07,4.86956
