,기간,캠핑
887,2021-11-16,19.86086
888,2021-11-17,17.71826
889,2021-11-18,17.8713
890,2021-11-19,17.57217
891,2021-11-20,15.52
892,2021-11-21,18.06608
893,2021-11-22,20.64
894,2021-11-23,17.88521
895,2021-11-24,16.55652
896,2021-11-25,16.3826
897,2021-11-26,15.30434
898,2021-11-27,13.92
899,2021-11-28,17.36347
900,2021-11-29,17.2313
901,2021-11-30,15.59652
902,2021-12-01,14.21913
903,2021-12-02,14.50434
904,2021-12-03,13.96173
905,2021-12-04,12.50086
906,2021-12-05,15.7426
907,2021-12-06,16.09043
908,2021-12-07,16.84869
909,2021-12-08,17.0226
910,2021-12-09,16.92521
911,2021-12-10,15.75652
912,2021-12-11,14.02434
913,2021-12-12,16.71652
914,2021-12-13,17.30086
915,2021-12-14,14.6226
916,2021-12-15,14.58086
917,2021-12-16,15.17913
918,2021-12-17,13.63478
919,2021-12-18,12.53565
920,2021-12-19,14.6713
921,2021-12-20,16.66782
922,2021-12-21,15.1513
923,2021-12-22,14.69217
924,2021-12-23,14.86608
925,2021-12-24,12.9113
926,2021-12-25,11.92347
927,2021-12-26,13.80173
928,2021-12-27,14.94956
929,2021-12-28,13.96173
930,2021-12-29,13.87826
931,2021-12-30,14.27478
932,2021-12-31,11.21391
933,2022-01-01,12.32
934,2022-01-02,13.30086
935,2022-01-03,13.84347
936,2022-01-04,12.96695
937,2022-01-05,12.64
938,2022-01-06,13.91304
939,2022-01-07,13.31478
940,2022-01-08,13.00869
941,2022-01-09,15.16521
942,2022-01-10,15.04695
943,2022-01-11,14.11478
944,2022-01-12,13.30086
945,2022-01-13,13.2313
946,2022-01-14,12.82086
947,2022-01-15,11.96521
948,2022-01-16,14.31652
949,2022-01-17,14.19826
950,2022-01-18,13.44695
951,2022-01-19,12.68173
952,2022-01-20,12.33391
953,2022-01-21,12.04173
954,2022-01-22,12.78608
955,2022-01-23,15.10956
956,2022-01-24,14.88695
957,2022-01-25,14.12869
958,2022-01-26,13.64869
959,2022-01-27,13.68347
960,2022-01-28,12.81391
961,2022-01-29,15.29043
962,2022-01-30,14.60173
963,2022-01-31,13.14782
964,2022-02-01,12.63304
965,2022-02-02,15.22782
966,2022-02-03,15.7426
967,2022-02-04,14.15652
968,2022-02-05,13.64173
969,2022-02-06,14.93565
970,2022-02-07,14.76869
971,2022-02-08,15.3113
972,2022-02-09,14.26086
973,2022-02-10,14.97043
974,2022-02-11,15.63826
975,2022-02-12,14.63652
976,2022-02-13,17.85043
977,2022-02-14,17.8226
978,2022-02-15,16.67478
979,2022-02-16,15.45043
980,2022-02-17,15.42956
981,2022-02-18,15.18608
982,2022-02-19,15.97217
983,2022-02-20,17.74608
984,2022-02-21,17.5513
985,2022-02-22,16.96
986,2022-02-23,15.43652
987,2022-02-24,15.28347
988,2022-02-25,15.93043
989,2022-02-26,16.49391
990,2022-02-27,19.13739
991,2022-02-28,18.05913
992,2022-03-01,19.72869
993,2022-03-02,16.12521
994,2022-03-03,16.70956
995,2022-03-04,17.44
996,2022-03-05,15.9513
997,2022-03-06,19.36695
998,2022-03-07,17.30086
