,기간,스트레이키즈
781,2021-08-02,3.13715
782,2021-08-03,3.43383
783,2021-08-04,3.37891
784,2021-08-05,3.05811
785,2021-08-06,3.16949
786,2021-08-07,2.68495
787,2021-08-08,3.0191
788,2021-08-09,3.70997
789,2021-08-10,3.305
790,2021-08-11,3.33117
791,2021-08-12,4.24583
792,2021-08-13,3.55548
793,2021-08-14,4.43575
794,2021-08-15,4.18783
795,2021-08-16,3.88192
796,2021-08-17,5.17436
797,2021-08-18,4.44961
798,2021-08-19,4.09955
799,2021-08-20,3.95891
800,2021-08-21,4.63695
801,2021-08-22,4.62463
802,2021-08-23,11.10016
803,2021-08-24,10.85276
804,2021-08-25,8.18884
805,2021-08-26,8.19962
806,2021-08-27,7.62988
807,2021-08-28,8.35822
808,2021-08-29,7.39634
809,2021-08-30,6.07978
810,2021-08-31,6.84251
811,2021-09-01,6.48322
812,2021-09-02,7.17666
813,2021-09-03,7.55391
814,2021-09-04,9.45151
815,2021-09-05,10.17318
816,2021-09-06,6.62437
817,2021-09-07,6.61769
818,2021-09-08,6.24403
819,2021-09-09,6.01819
820,2021-09-10,5.7831
821,2021-09-11,5.5316
822,2021-09-12,5.60602
823,2021-09-13,4.21709
824,2021-09-14,4.6657
825,2021-09-15,4.07235
826,2021-09-16,3.58063
827,2021-09-17,3.25059
828,2021-09-18,3.46103
829,2021-09-19,3.57241
830,2021-09-20,3.37839
831,2021-09-21,3.08531
832,2021-09-22,3.67302
833,2021-09-23,3.40406
834,2021-09-24,4.70163
835,2021-09-25,4.70573
836,2021-09-26,4.42959
837,2021-09-27,3.53392
838,2021-09-28,3.14845
839,2021-09-29,3.05811
840,2021-09-30,2.97136
841,2021-10-01,2.63773
842,2021-10-02,3.98458
843,2021-10-03,3.51082
844,2021-10-04,3.10122
845,2021-10-05,2.85896
846,2021-10-06,2.53713
847,2021-10-07,2.45141
848,2021-10-08,2.31847
849,2021-10-09,2.77273
850,2021-10-10,3.45744
851,2021-10-11,2.99857
852,2021-10-12,2.58795
853,2021-10-13,2.53456
854,2021-10-14,2.40624
855,2021-10-15,2.50223
856,2021-10-16,2.83997
857,2021-10-17,2.78299
858,2021-10-18,2.67982
859,2021-10-19,2.49607
860,2021-10-20,2.53816
861,2021-10-21,2.39649
862,2021-10-22,2.24251
863,2021-10-23,2.24148
864,2021-10-24,2.38417
865,2021-10-25,3.08172
866,2021-10-26,2.51917
867,2021-10-27,2.37596
868,2021-10-28,2.30051
869,2021-10-29,2.16038
870,2021-10-30,2.59975
871,2021-10-31,2.52738
872,2021-11-01,2.30513
873,2021-11-02,2.15679
874,2021-11-03,2.36313
875,2021-11-04,2.41394
876,2021-11-05,2.13985
877,2021-11-06,2.5243
878,2021-11-07,2.41343
879,2021-11-08,2.17989
880,2021-11-09,2.09417
881,2021-11-10,2.09828
882,2021-11-11,2.68906
883,2021-11-12,2.40368
884,2021-11-13,2.42267
885,2021-11-14,2.52635
886,2021-11-15,2.3621
887,2021-11-16,2.33079
888,2021-11-17,2.49248
889,2021-11-18,2.56433
890,2021-11-19,2.34311
891,2021-11-20,2.30359
892,2021-11-21,2.39598
893,2021-11-22,2.39701
894,2021-11-23,2.33131
895,2021-11-24,2.18092
896,2021-11-25,2.358
897,2021-11-26,2.21479
898,2021-11-27,2.14345
899,2021-11-28,2.4935
900,2021-11-29,3.6648
901,2021-11-30,3.12227
902,2021-12-01,2.74706
903,2021-12-02,3.93992
904,2021-12-03,3.93325
905,2021-12-04,3.09866
906,2021-12-05,2.64543
907,2021-12-06,2.49145
908,2021-12-07,2.35389
909,2021-12-08,2.46014
910,2021-12-09,2.41908
911,2021-12-10,3.54726
912,2021-12-11,9.5249
913,2021-12-12,5.24878
914,2021-12-13,3.10276
915,2021-12-14,2.54175
916,2021-12-15,2.21787
917,2021-12-16,2.6208
918,2021-12-17,5.30319
919,2021-12-18,3.15974
920,2021-12-19,2.45963
921,2021-12-20,2.38263
922,2021-12-21,2.32771
923,2021-12-22,2.4781
