,기간,bts
867,2021-10-27,3.64571
868,2021-10-28,3.56353
869,2021-10-29,4.78562
870,2021-10-30,3.52127
871,2021-10-31,3.61988
872,2021-11-01,3.58965
873,2021-11-02,4.3536
874,2021-11-03,4.34245
875,2021-11-04,4.4302
876,2021-11-05,4.18455
877,2021-11-06,3.92511
878,2021-11-07,3.68122
879,2021-11-08,4.40349
880,2021-11-09,4.0064
881,2021-11-10,4.01991
882,2021-11-11,3.90104
883,2021-11-12,3.5289
884,2021-11-13,3.56588
885,2021-11-14,3.32815
886,2021-11-15,3.82503
887,2021-11-16,4.16518
888,2021-11-17,6.86704
889,2021-11-18,6.25042
890,2021-11-19,4.91651
891,2021-11-20,5.19268
892,2021-11-21,5.46152
893,2021-11-22,26.55218
894,2021-11-23,14.79504
895,2021-11-24,11.86309
896,2021-11-25,8.76062
897,2021-11-26,6.80159
898,2021-11-27,6.23281
899,2021-11-28,12.6153
900,2021-11-29,12.02245
901,2021-11-30,8.89093
902,2021-12-01,6.80599
903,2021-12-02,7.89014
904,2021-12-03,8.25553
905,2021-12-04,8.76679
906,2021-12-05,7.55028
907,2021-12-06,8.73304
908,2021-12-07,7.30756
909,2021-12-08,5.58684
910,2021-12-09,5.91202
911,2021-12-10,5.30245
912,2021-12-11,5.4536
913,2021-12-12,5.47326
914,2021-12-13,4.31398
915,2021-12-14,4.16636
916,2021-12-15,4.01697
917,2021-12-16,4.01785
918,2021-12-17,4.31457
919,2021-12-18,3.7361
920,2021-12-19,3.69854
921,2021-12-20,3.91073
922,2021-12-21,3.63896
923,2021-12-22,3.41796
924,2021-12-23,3.50953
925,2021-12-24,6.30677
926,2021-12-25,7.48277
927,2021-12-26,9.51694
928,2021-12-27,5.64378
929,2021-12-28,4.47599
930,2021-12-29,4.21331
931,2021-12-30,5.91056
932,2021-12-31,5.06355
933,2022-01-01,4.41934
934,2022-01-02,3.59493
935,2022-01-03,3.72113
936,2022-01-04,4.03722
937,2022-01-05,3.42354
938,2022-01-06,3.33931
939,2022-01-07,3.54798
940,2022-01-08,4.40995
941,2022-01-09,3.49075
942,2022-01-10,3.24392
943,2022-01-11,3.1682
944,2022-01-12,3.3983
945,2022-01-13,3.3305
946,2022-01-14,3.20166
947,2022-01-15,3.23072
948,2022-01-16,3.33725
949,2022-01-17,3.29528
950,2022-01-18,3.31465
951,2022-01-19,3.2718
952,2022-01-20,3.25596
953,2022-01-21,3.05286
954,2022-01-22,3.02674
955,2022-01-23,3.09923
956,2022-01-24,2.93957
957,2022-01-25,3.19374
958,2022-01-26,3.39683
959,2022-01-27,3.22396
960,2022-01-28,3.23776
961,2022-01-29,2.91492
962,2022-01-30,2.99328
963,2022-01-31,3.83794
964,2022-02-01,4.1103
965,2022-02-02,3.46198
966,2022-02-03,3.39888
967,2022-02-04,3.16967
968,2022-02-05,3.43469
969,2022-02-06,2.95102
970,2022-02-07,3.00737
971,2022-02-08,6.23398
972,2022-02-09,5.53519
973,2022-02-10,3.87257
974,2022-02-11,3.20636
975,2022-02-12,2.95542
976,2022-02-13,2.73002
977,2022-02-14,2.79342
978,2022-02-15,2.84272
979,2022-02-16,3.97588
980,2022-02-17,4.35976
981,2022-02-18,4.0293
982,2022-02-19,3.25067
983,2022-02-20,3.21252
